"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","897","TC_005 – Verify validation when Email Address is empty and Password is entered","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1434","TC_027 – Verify direct access to Dashboard without login","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1793","TC_011 – Verify login is rejected using incorrect password","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","812","TC_024 – Verify Forgot Password link navigation","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1820","TC_029 – Verify login page responsiveness on different screen sizes","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","3855","TC_031 – Verify multiple consecutive failed login attempts","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1208","TC_036 – Verify login page behavior during slow network conditions","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2697","TC_017 – Verify logout invalidates user session","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2741","TC_001 – Verify successful login with valid registered email and password","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","3070","TC_016 – Verify authenticated user cannot access Login page again","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","897","TC_004 – Verify validation when Email Address and Password are both empty","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","935","TC_025 – Verify Register as new member link navigation","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1346","TC_042 – Verify Registration page loads from the top after navigating from a scrolled Login page","chromium","2026-05-22","failed","2026-05-22","Login Module","login.spec.ts","",""
"","2562","TC_026 – Verify browser back navigation after login","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","703","TC_040 – Verify Login page UI elements visibility","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2602","TC_023 – Verify pressing Enter key submits Login form","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","928","TC_008 – Verify login is rejected when Email Address format is invalid (missing local part)","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","973","TC_019 – Verify email field accepts valid email formats","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2486","TC_015 – Verify user session is created after successful login","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2079","TC_003 – Verify successful login redirects the user to the Dashboard","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1800","TC_010 – Verify login is rejected using an unregistered email address","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1748","TC_041 – Verify Login page retains no sensitive information after logout","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","802","TC_020 – Verify password field enforces maximum length","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2487","TC_035 – Verify login functionality across supported browsers","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","992","TC_037 – Verify login page handles server errors gracefully","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2663","TC_018 – Verify protected pages are inaccessible after logout","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","895","TC_006 – Verify validation when Password is empty and Email Address is entered","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","4137","TC_033 – Verify session persists during page refresh","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","967","TC_039 – Verify focus order on Login page","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","666","TC_012 – Verify login fails when account is not activated","chromium","2026-05-22","skipped","2026-05-22","Login Module","login.spec.ts","",""
"","2527","TC_022 – Verify login using email with uppercase characters","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1683","TC_030 – Verify validation message clarity for invalid credentials","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","873","TC_038 – Verify login form accessibility using keyboard navigation","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2474","TC_021 – Verify leading/trailing spaces are handled correctly in email field","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","3613","TC_002 – Verify members-only content is accessible after successful login","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","897","TC_007 – Verify login is rejected when Email Address format is invalid (missing @)","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","2553","TC_014 – Verify login button is clickable and functional","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","780","TC_013 – Verify password field masks entered characters","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","1114","TC_032 – Verify login with special characters in password","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","873","TC_009 – Verify login is rejected when Email Address format is invalid (missing domain)","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","3075","TC_034 – Verify expired session redirects to Login page","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
"","720","TC_028 – Verify login page loads successfully","chromium","2026-05-22","passed","2026-05-22","Login Module","login.spec.ts","",""
